"timeid","DFG_year","plot_id","var","rep","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Late","DFG2019",87,"Capone","3","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.43,175,1132.42104,"LAI"
"Late","DFG2019",11,"Capone","1","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.78,175,1132.42104,"LAI"
"Late","DFG2019",77,"Pionier","3","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.86,175,1132.42104,"LAI"
"Late","DFG2019",79,"Capone","3","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,1.22,175,1132.42104,"LAI"
"Late","DFG2019",33,"Apertus","2","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.78,175,1132.42104,"LAI"
"Late","DFG2019",59,"Pionier","2","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.24,175,1132.42104,"LAI"
"Late","DFG2019",69,"Capone","3","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.44,175,1132.42104,"LAI"
"Late","DFG2019",12,"Patras","1","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.24,175,1132.42104,"LAI"
"Late","DFG2019",22,"Patras","1","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.37,175,1132.42104,"LAI"
"Late","DFG2019",19,"Capone","1","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.85,175,1132.42104,"LAI"
"Late","DFG2019",17,"Apertus","1","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,3.11,175,1132.42104,"LAI"
"Late","DFG2019",63,"Patras","2","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.15,175,1132.42104,"LAI"
"Early","DFG2019",83,"Patras","3","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,2.94,194,1281.29256,"LAI"
"Early","DFG2019",27,"Apertus","1","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,3.13,194,1281.29256,"LAI"
"Early","DFG2019",28,"Pionier","1","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.99,194,1281.29256,"LAI"
"Early","DFG2019",91,"Capone","3","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,2.11,194,1281.29256,"LAI"
"Early","DFG2019",84,"Capone","3","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.51,194,1281.29256,"LAI"
"Early","DFG2019",25,"Capone","1","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,3.52,194,1281.29256,"LAI"
"Early","DFG2019",67,"Capone","3","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,3.1,194,1281.29256,"LAI"
"Early","DFG2019",7,"Capone","1","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.66,194,1281.29256,"LAI"
"Early","DFG2019",92,"Patras","3","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,2.62,194,1281.29256,"LAI"
"Early","DFG2019",73,"Capone","3","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.94,194,1281.29256,"LAI"
"Early","DFG2019",89,"Pionier","3","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,4.58,194,1281.29256,"LAI"
"Early","DFG2019",54,"Patras","2","176","Combined",1231.0875,"LAI","2019-05-07","Combined_176_Early","Combined 176",NA,NA,2.89,194,1281.29256,"LAI"
"Early","DFG2019",90,"Apertus","3","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.06,194,1281.29256,"LAI"
