"DFG_year","timeid","var","nitrogen","appl","rep","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2020","Late","Torrild","176","Combined","1",2199.74115111392,36.9060613602876,1677.57054777134,1589.21898804349,1644.475,522.170603342578,555.266151113923,610.522163070428,4.22,1545.84166666667,4.22,1545.84166666667,4.22,1545.84166666667,2275.075,2146.87169277393,2286.53041539175,2519.70789619609,75.3338488860772
"DFG2020","Late","Torrild","176","Combined","2",2172.67299099437,33.4479031749449,1647.59830458584,1554.54339733487,1612.4125,525.074686408538,560.260490994374,618.129593659504,3.57,1416.825,3.57,1416.825,3.57,1416.825,2275.075,1837.27651087939,1962.88125033424,2169.46837734934,102.402009005626
"DFG2020","Late","Torrild","176","Combined","3",2169.68749698407,21.5288810388863,1666.37376895511,1573.77522451937,1612.4125,503.31372802896,557.274996984074,595.912272464701,4.43,1433.075,4.43,1433.075,4.43,1433.075,2307.52083333333,2147.38568430338,2385.85115081879,2556.790771414,137.833336349256
"DFG2020","Late","Torrild","176","Split","1",2217.76360465905,30.1476134773443,1650.93253219934,1556.17581676016,1545.84166666667,566.831072459717,671.921937992383,661.587787898896,5.73,1545.84166666667,5.73,1545.84166666667,5.73,1545.84166666667,2307.52083333333,3150.89382697047,3753.02834649086,3693.81490004529,89.757228674277
"DFG2020","Late","Torrild","176","Split","2",2195.75274881963,33.1784866732913,1661.06786193166,1566.87592449464,1612.4125,534.684886887972,583.340248819627,628.876824324984,5.09,1627.82916666667,5.08,1545.84166666667,5.08,1545.84166666667,2307.52083333333,2673.91700078227,2915.81796108076,3147.13844922859,111.768084513703
"DFG2020","Late","Torrild","176","Split","3",2142.46819078102,22.4323130956287,1658.10142355415,1565.63447589126,1612.4125,484.366767226865,530.055690781019,576.833714889756,4.24,1433.075,4.24,1433.075,4.24,1433.075,2275.075,1980.13948666617,2173.40245098259,2371.49410275061,132.606809218981
"DFG2020","Late","Torrild","220","Combined","1",2238.78004269661,29.8509775541884,1653.19449976118,1562.79938691026,1612.4125,585.585542935428,626.367542696607,675.980655786346,6.24,1627.82916666667,5.72,1545.84166666667,5.72,1545.84166666667,2275.075,3441.88570902292,3388.31563667653,3672.09235741293,36.2949573033929
"DFG2020","Late","Torrild","220","Combined","2",2261.85488830895,32.6952852513945,1686.86717936398,1596.28436271249,1644.475,574.987708944969,617.379888308947,665.570525596461,4.91,1433.075,4.91,1433.075,4.91,1433.075,2307.52083333333,2690.08111394662,2898.21703160288,3134.82854598229,45.6659450243833
"DFG2020","Late","Torrild","220","Combined","3",2246.13278870795,31.6882433407034,1687.19014814052,1592.37014809171,1612.4125,558.942640567428,633.720288707948,653.762640616241,3.62,1644.475,3.55,1560.4,3.55,1560.4,2365.73333333333,1987.35964816272,2214.37435885171,2285.52309636257,119.600544625382
"DFG2020","Late","Torrild","220","Split","1",2229.65531831227,25.9743544149857,1656.66239796861,1562.87762752966,1612.4125,572.992920343662,617.24281831227,666.777690782606,5.86,1627.82916666667,5.12,1545.84166666667,5.12,1545.84166666667,2307.52083333333,3203.12697364664,3025.12337984832,3278.70349819018,77.8655150210602
"DFG2020","Late","Torrild","220","Split","2",2259.61388929655,30.7215507711933,1671.17241914439,1575.75263920575,1612.4125,588.441470152164,647.201389296553,683.861250090801,6.52,1644.475,5.99,1545.84166666667,5.99,1545.84166666667,2365.73333333333,3748.79531393143,3796.01364571907,4015.60125430004,106.119444036777
"DFG2020","Late","Torrild","220","Split","3",2258.62995761732,23.0352114749499,1681.90363928647,1580.46287216869,1612.4125,576.726318330849,646.217457617322,678.167085448637,5.6,1644.475,5.49,1560.4,5.49,1560.4,2434.775,3168.2124390093,3487.21125512579,3662.55496563534,176.145042382678
"DFG2021","Early","Alves","176","Combined","1",2188.09645703233,26.482618268965,1669.79958868254,1582.78431994615,1644.9375,518.296868349792,543.158957032329,605.312137086179,4.37,1548.1125,4.37,1548.1125,4.37,1548.1125,2328.00416666667,2216.81396558421,2325.39156274353,2596.91168885524,139.907709634341
"DFG2021","Early","Alves","176","Combined","2",2231.01933111336,32.3320774481399,1679.15639657613,1593.24932753777,1644.9375,551.862934537228,586.081831113363,637.770003575597,4.12,1417.54166666667,4.12,1417.54166666667,4.12,1417.54166666667,2328.00416666667,2219.09829769944,2360.06961048244,2573.01788055951,96.9848355533072
"DFG2021","Early","Alves","176","Combined","3",2241.75042282334,48.6369336498756,1650.13751608707,1560.63738782551,1606.74583333333,591.612906736272,635.004589490008,681.113034997833,4.4,1566.5875,4.4,1566.5875,4.3,1435.45,2328.00416666667,2578.12873859343,2769.05210651532,2904.38540900967,86.2537438433314
"DFG2021","Early","Alves","176","Split","1",2177.91935790451,24.4067610355975,1667.32736376337,1578.80168346202,1606.74583333333,510.591994141145,571.173524571181,599.117674442487,4.2,1548.1125,4.2,1548.1125,4.2,1548.1125,2328.00416666667,2095.07543747073,2349.2706072926,2466.57903036664,150.084808762158
"DFG2021","Early","Alves","176","Split","2",2199.70013705703,24.1701842011344,1638.20102774519,1552.23805151945,1606.74583333333,561.499109311841,592.954303723703,647.462085537578,4.7,1417.54166666667,4.7,1417.54166666667,4.7,1417.54166666667,2288.43333333333,2516.90271095184,2664.64698777723,2920.74574108683,88.7331962762973
"DFG2021","Early","Alves","176","Split","3",2197.82094664141,26.1403534740755,1670.69279150409,1588.13979722842,1644.9375,527.128155137322,552.883446641408,609.68114941299,4.28,1566.5875,4.28,1566.5875,4.28,1566.5875,2288.43333333333,2162.35774183626,2272.52059058654,2515.53293206153,90.612386691922
"DFG2021","Early","Alves","220","Combined","1",2231.02133255272,32.3341727777729,1665.06093355279,1578.61836672009,1644.9375,565.960398999928,586.083832552722,652.402965832635,4.44,1548.1125,4.44,1548.1125,4.44,1548.1125,2328.00416666667,2454.04956622348,2543.3918590591,2837.84022068733,96.9828341139482
"DFG2021","Early","Alves","220","Combined","2",2249.22141719398,56.5383304066976,1671.17061830585,1580.68418846127,1644.9375,578.050798888128,604.283917193982,668.537228732717,4.91,1566.5875,4.91,1566.5875,4.91,1566.5875,2365.24583333333,2832.08119566683,2960.88580221831,3276.36955925511,116.024416139348
"DFG2021","Early","Alves","220","Combined","3",2244.53462808312,37.0281045261715,1669.38377133135,1583.22168172022,1644.9375,575.150856751767,599.597128083117,661.312946362895,5.24,1566.5875,5.24,1566.5875,5.24,1566.5875,2328.00416666667,2949.88320360713,3077.97995186323,3401.36909421948,83.4695385835525
"DFG2021","Early","Alves","220","Split","1",2220.50389317104,27.6840265230478,1676.93075823135,1580.91813920733,1644.9375,543.573134939688,575.566393171042,639.585753963711,5.1,1548.1125,5.1,1548.1125,5.1,1548.1125,2437.55833333333,2762.70182121626,2925.81416631816,3252.26380758695,217.054440162288
"DFG2021","Early","Alves","220","Split","2",2251.53313217753,37.7818706635245,1675.86654494211,1578.65552919905,1644.9375,575.666587235414,606.595632177528,672.877602978475,4.97,1566.5875,4.97,1566.5875,4.97,1566.5875,2437.55833333333,2857.95259874156,3011.66837351682,3341.08858091618,186.025201155802
"DFG2021","Early","Alves","220","Split","3",2230.59943575836,31.9791319237781,1644.66511117669,1555.30566712054,1606.74583333333,585.934324581673,623.853602425035,675.293768637822,5.16,1566.5875,5.16,1566.5875,4.98,1435.45,2328.00416666667,2953.75894761606,3149.41433203502,3295.71863322384,97.4047309083053
"DFG2021","Early","Apertus","176","Combined","1",2197.70974219478,26.0707052537706,1704.63361997889,1611.06941954237,1644.9375,493.076122215895,552.772242194781,586.640322652414,4.26,1697.2125,4.01,1548.1125,4.01,1548.1125,2437.55833333333,2096.61063965089,2212.74408031459,2348.50007132171,239.848591138549
"DFG2021","Early","Apertus","176","Combined","2",2204.31158713451,27.6584302046111,1716.69486112222,1631.98535186467,1679.35416666667,487.616726012287,524.957420467842,572.326235269847,3.73,1697.2125,3.56,1548.1125,3.56,1548.1125,2365.24583333333,1792.62019031717,1843.75296765164,2012.32289553412,160.934246198819
"DFG2021","Early","Apertus","176","Combined","3",2251.857817612,30.136776977979,1706.74090392004,1620.05046557528,1644.9375,545.116913691957,606.920317611995,631.807352036716,4.5,1566.5875,4.5,1566.5875,4.5,1566.5875,2365.24583333333,2396.44301698375,2674.51864222424,2786.5033299726,113.388015721335
"DFG2021","Early","Apertus","176","Split","1",2191.61590999995,23.5687191070295,1679.97020938625,1590.18102240172,1644.9375,511.6457006137,546.678409999946,601.434887598225,3.98,1548.1125,3.98,1548.1125,3.98,1548.1125,2365.24583333333,1998.65199973594,2137.87356072961,2355.63052131253,173.629923333384
"DFG2021","Early","Apertus","176","Split","2",2223.64324712084,23.0050867214085,1712.04574096422,1625.84621598909,1679.35416666667,511.597506156621,544.289080454172,597.797031131747,4.47,1697.2125,4.36,1417.54166666667,4.36,1417.54166666667,2365.24583333333,2214.32689784157,2302.09010628998,2535.12674795452,141.602586212488
