"DFG_year","timeid","var","nitrogen","appl","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2020","Early","Esket","220","Split",2344.98620132753,25.0521122304952,1815.74941136366,1719.64366575076,1751.95555555555,529.236789963872,593.030645771976,625.342535576766,6.61,1806.20833333333,6.41,1594.80833333333,6.41,1594.80833333333,2467.02777777778,3371.62124430531,3678.07818220841,3885.08598510357,122.041576450247
"DFG2020","Early","Patras","176","Combined",2222.86343958572,19.3234682089333,1803.89846921398,1710.13403752633,1729.76527777778,418.964970371737,493.098161807942,512.729402059386,4.81,1789.5625,3.57,1394.14166666667,3.57,1394.14166666667,2436.80833333333,1969.6504191371,1723.36435832922,1792.95719378126,213.944893747612
"DFG2020","Early","Patras","176","Split",2241.19616987907,17.8032301057642,1794.78629513827,1700.68888321829,1707.575,446.409874740807,533.621169879073,540.507286660785,5.44,1707.575,5.44,1707.575,4.77,1578.55833333333,2436.80833333333,2340.9723195331,2809.43086899014,2496.01480362704,195.612163454257
"DFG2020","Early","Patras","220","Combined",2359.80839401756,23.0707615970291,1812.8448879289,1716.09896396359,1729.76527777778,546.96350608866,630.043116239781,643.709430053969,6.45,1594.80833333333,6.45,1594.80833333333,6.45,1594.80833333333,2477.84305555556,3372.1036713684,3907.21865406599,3995.30417401849,118.034661537999
"DFG2020","Early","Patras","220","Split",2338.15661097838,24.3133607228484,1796.12763766331,1698.14972164707,1707.575,542.028973315065,630.581610978375,640.006889331308,7.27,1789.5625,6.79,1594.80833333333,6.79,1594.80833333333,2467.02777777778,3803.63046950154,4153.19877992481,4217.16768054496,128.871166799402
"DFG2020","Early","Pionier","176","Combined",2372.54363187817,29.3922289449492,1843.25841706625,1747.50736377166,1795.52083333333,529.285214811917,577.022798544836,625.036268106505,4.4,1578.55833333333,4.4,1578.55833333333,4.4,1578.55833333333,2488.65833333334,2264.07908223767,2474.03657397058,2685.25540353535,116.11470145517
"DFG2020","Early","Pionier","176","Split",2371.98745379774,32.0622828264995,1829.50752546308,1733.73646283386,1784.83333333333,542.479928334665,587.154120464411,638.250990963878,6.43,1789.5625,6.05,1707.575,6.05,1707.575,2477.84305555556,3399.38975585955,3468.72629775874,3777.84027034148,105.855601757816
"DFG2020","Early","Pionier","220","Combined",2400,24.7746442378827,1850.92292846727,1750.93922750255,1784.83333333333,549.077071532733,615.16666666667,649.060772497451,6.53,1594.80833333333,6.53,1594.80833333333,6.53,1594.80833333333,2550.48055555556,3487.75771778757,3918.86615045034,4140.07992238411,150.480555555557
"DFG2020","Early","Pionier","220","Split",2400,24.7886154873291,1837.02419170966,1735.29666191501,1784.83333333333,562.975808290341,615.16666666667,664.703338084988,7.25,1806.20833333333,6.68,1578.55833333333,6.68,1578.55833333333,2550.48055555556,3973.09423849735,4009.03149410111,4339.78182310934,150.480555555557
"DFG2020","Early","Potenzial","176","Combined",2309.4910817694,21.7542053720226,1805.67340859556,1710.50929701752,1707.575,503.817673173844,601.916081769405,598.98178475189,5.04,1707.575,5.04,1707.575,5.04,1707.575,2447.62361111111,2433.3019415454,2926.36069560457,2911.59295803715,138.132529341705
"DFG2020","Early","Potenzial","176","Split",2302.48003246558,18.925723005508,1811.92254651692,1715.53371915539,1729.76527777778,490.557485948663,572.714754687806,586.946313310191,5.51,1707.575,5.51,1707.575,5.51,1707.575,2467.02777777778,2584.43745655472,3033.90453003812,3111.99800783888,164.547745312194
"DFG2020","Early","Potenzial","220","Combined",2400,23.2580852263222,1822.35327481146,1725.75449759627,1751.95555555555,577.646725188539,648.044444444447,674.245502403734,6.13,1722.13333333333,6.13,1722.13333333333,6.13,1722.13333333333,2467.02777777778,3297.5803898817,3728.64986336947,3889.17265967216,67.0277777777769
"DFG2020","Early","Potenzial","220","Split",2376.25208917341,26.1438761984339,1807.86894180253,1707.94947055496,1707.575,568.383147370885,668.67708917341,668.302618618452,5.99,1594.80833333333,5.99,1594.80833333333,5.99,1594.80833333333,2488.65833333334,3283.8850402884,3884.3985430823,3882.15586259645,112.406244159926
"DFG2020","Early","Torrild","176","Combined",2264.37691110939,21.7453063283005,1802.38951295984,1707.10949132057,1707.575,461.987398149554,556.801911109391,557.267419788821,4.21,1707.575,4.21,1707.575,4,1578.55833333333,2447.62361111111,1896.42274009151,2293.94753074867,2181.38062550036,183.246700001719
"DFG2020","Early","Torrild","176","Split",2267.91921417107,20.7678346071375,1802.5640690815,1707.75866113219,1707.575,465.355145089574,560.344214171071,560.160553038878,6.18,1707.575,6.18,1707.575,6.18,1707.575,2436.80833333333,2778.81897946364,3362.86222465454,3361.73032280788,168.889119162259
"DFG2020","Early","Torrild","220","Combined",2384.55363462683,27.541778626432,1811.13590621539,1713.04561692758,1729.76527777778,573.417728411446,654.788356849058,671.508017699253,6.31,1806.20833333333,6.28,1594.80833333333,6.28,1594.80833333333,2490.04166666666,3493.82544604702,3988.07281285166,4093.05896133589,105.488032039829
"DFG2020","Early","Torrild","220","Split",2374.76127352258,30.1877698764974,1818.39065384531,1722.30947401716,1729.76527777778,556.37061967727,644.995995744805,652.451799505421,6.81,1707.575,6.81,1707.575,6.81,1707.575,2477.84305555556,3676.45192070344,4279.89156331368,4330.66225420689,103.081782032974
"DFG2020","Late","Alves","176","Combined",2165.5453926271,21.2868472820156,1656.7454708479,1565.3039876564,1612.4125,508.799921779203,553.132892627104,600.241404970709,5.23,1545.84166666667,5.23,1545.84166666667,5.23,1545.84166666667,2285.89027777778,2541.05931323979,2772.33272858405,3018.36738749339,120.344885150673
